train_ciou train_cls train_dfl test_ciou test_cls test_dfl
2.0927514705882353 1.4948354411764708 1.1150486764705883 2.6947015384615387 1.683416153846154 1.098436923076923
2.062393088235294 1.4572569117647058 1.1059926470588235 2.679808461538461 1.659673846153846 1.0937169230769233
2.0362354411764705 1.4276710294117645 1.1003114705882355 2.64445 1.6934338461538465 1.0847499999999999
2.0180398529411763 1.4117763235294116 1.0959614705882352 2.6460961538461536 1.672853846153846 1.0868584615384616
2.000013970588235 1.3987660294117648 1.0881127941176472 2.754895384615385 1.7534853846153846 1.1130515384615383
1.9719947058823535 1.3800908823529412 1.078789705882353 2.742273846153846 1.7517669230769235 1.1116092307692307
1.9786598529411763 1.3803395588235294 1.0805001470588234 2.5465092307692307 1.633459230769231 1.064913076923077
1.9718295588235293 1.3661792647058824 1.0791723529411765 2.714339230769231 1.8517907692307696 1.1034246153846152
1.9613632352941173 1.349184705882353 1.0720389705882354 2.8417607692307687 1.880092307692308 1.129612307692308
1.945696176470588 1.3441175 1.0726238235294119 2.7737938461538465 1.7410584615384617 1.1113053846153844
1.943752058823529 1.338346911764706 1.0684125 2.555998461538461 1.6607184615384616 1.06013
1.941169705882353 1.3239867647058825 1.0656419117647058 2.6704746153846153 1.8419438461538462 1.0856392307692306
1.9355142647058823 1.3188747058823531 1.0642354411764705 2.5465776923076926 1.6662 1.061313846153846
1.9294357352941176 1.3156917647058823 1.0610475 2.6841300000000006 1.7190284615384614 1.0960807692307692
1.9146126470588234 1.3116386764705883 1.0589473529411766 2.55189 1.6818853846153843 1.0581738461538461
1.926429705882353 1.3154549999999998 1.0621189705882355 2.614482307692308 1.8321507692307688 1.0754646153846155
1.9088699999999998 1.3076063235294115 1.0558845588235293 2.7271223076923077 2.0501361538461538 1.0929307692307693
1.906421911764706 1.2951239705882351 1.056902205882353 2.603443846153846 1.7350653846153845 1.0643723076923077
1.9151167647058822 1.3056826470588232 1.0584067647058824 2.4358107692307693 1.6041653846153845 1.038633076923077
1.8869866176470589 1.2850427941176472 1.0548983823529412 2.4914769230769234 1.6038430769230767 1.0518861538461541
1.8970429411764707 1.2860979411764704 1.0511823529411766 2.5167330769230767 1.66624 1.0577138461538462
1.9024017647058822 1.3003566176470591 1.0531501470588236 2.6410861538461536 1.6051361538461537 1.074246923076923
1.9033967647058825 1.2974304411764708 1.0546376470588237 2.5958507692307697 1.797363076923077 1.0847323076923077
1.889847205882353 1.2893908823529414 1.0542683823529408 2.5397730769230766 1.6022123076923078 1.0624323076923077
1.8977020588235292 1.2820252941176473 1.0511089705882355 2.556875384615384 1.726656923076923 1.058196923076923
1.873746911764706 1.275376911764706 1.0474973529411766 2.6348761538461534 1.7271561538461537 1.0719123076923078
1.8918122058823532 1.2802345588235293 1.0508341176470588 2.652732307692308 1.554743846153846 1.0776992307692308
1.8680267647058828 1.2702775 1.047121617647059 2.653656153846154 1.5869269230769232 1.0699223076923075
1.8745025000000002 1.267846470588235 1.049052794117647 2.6807200000000004 1.7681138461538457 1.0806384615384614
1.868963382352941 1.2597748529411763 1.0462223529411765 2.6320799999999998 1.671203076923077 1.081179230769231
1.8812654411764707 1.2631230882352942 1.0473401470588235 2.6252976923076923 1.5745369230769233 1.0666984615384616
1.8685020588235293 1.2659114705882353 1.0452904411764707 2.5713853846153847 1.5814230769230768 1.058339230769231
1.864001911764706 1.2580010294117645 1.0445651470588238 2.4735692307692307 1.5412592307692305 1.0468169230769233
1.8660236764705882 1.2579002941176471 1.0457892647058826 2.5238961538461533 1.6371346153846156 1.0597500000000002
1.8763014705882353 1.264695588235294 1.0444289705882353 2.471624615384615 1.559150769230769 1.0476400000000001
1.8586686764705882 1.2526326470588232 1.041317205882353 2.547056153846154 1.5468823076923077 1.0690430769230768
1.8600472058823532 1.2484654411764704 1.0407470588235292 2.4636484615384617 1.6242961538461538 1.0473707692307692
1.859235 1.251666617647059 1.0398223529411763 2.6439892307692308 1.5974815384615384 1.0795446153846153
1.8515954411764706 1.248330294117647 1.040271176470588 2.5920500000000004 1.6218561538461542 1.0751707692307695
1.8474588235294116 1.2575017647058824 1.0421966176470587 2.5478576923076925 1.5441407692307694 1.0566530769230769
1.8491607352941177 1.2443699999999998 1.0394170588235294 2.6703553846153847 1.6608338461538459 1.0817615384615387
1.8621730882352936 1.2490223529411766 1.0406944117647061 2.5414576923076924 1.5274384615384615 1.0512923076923077
1.855822794117647 1.2474810294117644 1.0404901470588237 2.547845384615385 1.6186123076923076 1.0569230769230769
